"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"2.5",2,7653.29999999981,"natural","1.5","238",78,"1.8","D~1.8"
"3.5",0,4477.20000000019,"natural","0.5","117",78,"1.6","D~1.6"
"4.5",62.3,5256.39999999944,"natural","1.5","117",78,"1.2","D~1.2"
"2.5",1.72,3662.19999999925,"natural","1.5","117",78,"1.8","D~1.8"
"5.5",96,4498.5,"natural","0.66667","238",78,"1","D~1.0"
"4.5",92.99,2878.90000000037,"natural","1","117",78,"1.2","D~1.2"
"3.5",0.4,5166.90000000037,"natural","0.5","314",78,"1.6","D~1.6"
"5.5",97,4094.5,"natural","0.66667","117",78,"1","D~1.0"
"3.5",50.79,4598.70000000019,"natural","1.5","314",78,"1.6","D~1.6"
"2.5",0.4,3180,"natural","1","314",78,"1.8","D~1.8"
"4.5",59.52,3348.70000000019,"natural","0.66667","238",78,"1.2","D~1.2"
"2.5",0,2900.09999999963,"natural","0.5","117",78,"1.8","D~1.8"
"5.5",100,8655.29999999981,"natural","2","238",78,"1","D~1.0"
"4",70,10656.4000000004,"natural","0.66667","314",78,"1.4","D~1.4"
"3.5",16.27,6523.80000000075,"natural","0.66667","238",78,"1.6","D~1.6"
"4.5",83.33,9483,"appealing","2","238",78,"1.2","D~1.2"
"3.5",22.62,2646.29999999981,"appealing","1","238",78,"1.6","D~1.6"
"5.5",90.48,5011.29999999981,"appealing","0.5","117",78,"1","D~1.0"
"2.5",4.1,4337.70000000019,"appealing","2","314",78,"1.8","D~1.8"
"4",23.15,3415,"appealing","1","314",78,"1.4","D~1.4"
"4.5",14.29,2750.89999999944,"appealing","0.66667","117",78,"1.2","D~1.2"
"4",10.98,4040.79999999981,"appealing","1.5","314",78,"1.4","D~1.4"
"2.5",0,3582.20000000019,"appealing","1.5","117",78,"1.8","D~1.8"
"4",54.1,4837.29999999981,"appealing","1.5","238",78,"1.4","D~1.4"
"3.5",20.9,2198.69999999925,"appealing","1","117",78,"1.6","D~1.6"
"5.5",96,4351.20000000019,"appealing","0.66667","314",78,"1","D~1.0"
"2.5",0.93,3046.5,"appealing","1","117",78,"1.8","D~1.8"
"5.5",100,7793.40000000037,"appealing","2","314",78,"1","D~1.0"
"5.5",99,5780.20000000019,"appealing","1","117",78,"1","D~1.0"
"2.5",1,5463.79999999981,"appealing","0.66667","238",78,"1.8","D~1.8"
"3.5",0,5217.20000000019,"appealing","0.66667","117",78,"1.6","D~1.6"
"5.5",100,5054.29999999981,"appealing","0.5","238",78,"1","D~1.0"
"2.5",7.54,8532.29999999981,"appealing","0.66667","117",78,"1.8","D~1.8"
"5.5",100,10041.3000000007,"appealing","2","238",78,"1","D~1.0"
"3.5",46.43,7562.59999999963,"appealing","1.5","117",78,"1.6","D~1.6"
"5.5",96,5182.90000000037,"appealing","0.66667","117",78,"1","D~1.0"
"4",31.88,4311.79999999981,"appealing","1","117",78,"1.4","D~1.4"
"3.5",11.24,2965.90000000037,"appealing","2","238",78,"1.6","D~1.6"
"5.5",99,4332.70000000019,"appealing","1.5","314",78,"1","D~1.0"
"3.5",32.94,6816.29999999981,"appealing","1.5","314",78,"1.6","D~1.6"
"4.5",62.57,3780.5,"appealing","2","314",78,"1.2","D~1.2"
"5.5",94,8681.79999999981,"appealing","1","314",78,"1","D~1.0"
"4.5",16.27,6915.19999999925,"appealing","0.5","117",78,"1.2","D~1.2"
"4",5.16,3298.19999999925,"appealing","0.5","238",78,"1.4","D~1.4"
"4.5",43.39,5499.20000000019,"appealing","1.5","314",78,"1.2","D~1.2"
"3.5",3.57,2631.5,"appealing","2","117",78,"1.6","D~1.6"
"4.5",83.07,3456.39999999944,"appealing","1.5","238",78,"1.2","D~1.2"
"2.5",0.13,3326.10000000056,"appealing","0.66667","314",78,"1.8","D~1.8"
"4.5",68.52,11613.7000000002,"appealing","1","238",78,"1.2","D~1.2"
"4.5",43.52,4582.20000000019,"appealing","0.66667","314",78,"1.2","D~1.2"
"4",69.18,7352.70000000019,"appealing","2","117",78,"1.4","D~1.4"
"5.5",95,2982.40000000037,"appealing","0.66667","238",78,"1","D~1.0"
"2.5",0.53,3227.40000000037,"appealing","2","238",78,"1.8","D~1.8"
"2.5",0,3081.20000000019,"appealing","1.5","314",78,"1.8","D~1.8"
"3.5",0.53,4798.70000000019,"appealing","0.5","314",78,"1.6","D~1.6"
"4.5",38.23,2734.70000000019,"appealing","0.5","314",78,"1.2","D~1.2"
"3.5",3.57,3598.80000000075,"appealing","0.66667","314",78,"1.6","D~1.6"
"3.5",0,2729.60000000056,"appealing","0.5","238",78,"1.6","D~1.6"
"2.5",0,3299.70000000019,"appealing","1.5","238",78,"1.8","D~1.8"
"4",42.59,2919.10000000056,"appealing","1.5","117",78,"1.4","D~1.4"
"4",34.66,2627.29999999981,"appealing","2","314",78,"1.4","D~1.4"
"4.5",56.35,4480.79999999981,"appealing","1","117",78,"1.2","D~1.2"
"3.5",27.12,2622.90000000037,"appealing","2","314",78,"1.6","D~1.6"
"3.5",17.99,2094.20000000019,"appealing","1","314",78,"1.6","D~1.6"
"4",48.15,3382.90000000037,"appealing","1","238",78,"1.4","D~1.4"
"4.5",80.69,2911.39999999944,"appealing","0.66667","238",78,"1.2","D~1.2"
"4",38.76,2814.90000000037,"appealing","0.5","314",78,"1.4","D~1.4"
"2.5",0,3221.79999999981,"appealing","1","238",78,"1.8","D~1.8"
"4",64.55,2543.5,"appealing","0.66667","238",78,"1.4","D~1.4"
"4.5",81,4465.60000000056,"appealing","1.5","117",78,"1.2","D~1.2"
"5.5",100,3356.60000000056,"appealing","1","238",78,"1","D~1.0"
"2.5",0.4,3614.5,"appealing","0.5","314",78,"1.8","D~1.8"
"4.5",80.69,3414.09999999963,"appealing","1","314",78,"1.2","D~1.2"
"2.5",13.89,3825.40000000037,"appealing","2","117",78,"1.8","D~1.8"
"3.5",3.57,2532.29999999981,"appealing","0.66667","238",78,"1.6","D~1.6"
"3.5",3,4398.5,"appealing","1.5","238",78,"1.6","D~1.6"
"5.5",99,3332.89999999944,"appealing","1.5","238",78,"1","D~1.0"
"3.5",12.83,4348,"appealing","0.5","117",78,"1.6","D~1.6"
"4",4.1,2682.70000000019,"appealing","0.5","117",78,"1.4","D~1.4"
"5.5",97,2487.19999999925,"appealing","2","117",78,"1","D~1.0"
"2.5",1.19,3350.5,"appealing","1","314",78,"1.8","D~1.8"
"2.5",0,2574.5,"appealing","0.5","238",78,"1.8","D~1.8"
"4",56,4455.09999999963,"appealing","2","238",78,"1.4","D~1.4"
"4",39.55,2126.39999999944,"appealing","0.66667","117",78,"1.4","D~1.4"
"5.5",91.4,4848.29999999981,"appealing","0.5","314",78,"1","D~1.0"
"4.5",50.4,5733.59999999963,"appealing","0.5","238",78,"1.2","D~1.2"
"2.5",0,2686.70000000019,"appealing","0.5","117",78,"1.8","D~1.8"
