"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"5.5",100,3990.29999999702,"appealing","1.5",117,"100",1,"D~1.0"
"3.5",3,6094.69999998808,"appealing","2",238,"100",1.6,"D~1.6"
"5.5",100,8409.79999999702,"appealing","2",238,"100",1,"D~1.0"
"4",17.46,5444,"appealing","0.66667",117,"100",1.4,"D~1.4"
"3.5",4.1,3486.29999999702,"appealing","2",117,"100",1.6,"D~1.6"
"3.5",8.6,16806.6999999881,"appealing","1",314,"100",1.6,"D~1.6"
"4.5",38,10215.200000003,"appealing","0.5",238,"100",1.2,"D~1.2"
"2.5",0,3842.10000000894,"appealing","1",238,"100",1.8,"D~1.8"
"2.5",0,4299.20000000298,"appealing","0.5",238,"100",1.8,"D~1.8"
"4",6,5519.29999999702,"appealing","0.66667",238,"100",1.4,"D~1.4"
"4",11.11,8751.10000000894,"appealing","1.5",238,"100",1.4,"D~1.4"
"3.5",20.24,11561,"appealing","1.5",238,"100",1.6,"D~1.6"
"3.5",11.51,5896.89999999106,"appealing","1",238,"100",1.6,"D~1.6"
"4.5",71.56,16834.400000006,"appealing","1.5",117,"100",1.2,"D~1.2"
"5.5",100,5935.29999999702,"appealing","1",238,"100",1,"D~1.0"
"2.5",0,4487.09999999404,"appealing","1",314,"100",1.8,"D~1.8"
"2.5",0,4758.40000000596,"appealing","0.66667",238,"100",1.8,"D~1.8"
"2.5",0,3063,"appealing","0.66667",117,"100",1.8,"D~1.8"
"5.5",76,6931.70000000298,"appealing","0.5",314,"100",1,"D~1.0"
"4",45.37,7754.39999999106,"appealing","0.66667",314,"100",1.4,"D~1.4"
"5.5",89,8447.10000000894,"appealing","0.5",238,"100",1,"D~1.0"
"2.5",1.98,2997.20000000298,"appealing","1.5",314,"100",1.8,"D~1.8"
"3.5",3.44,4216.69999998808,"appealing","0.66667",117,"100",1.6,"D~1.6"
"5.5",100,6838.59999999404,"appealing","2",117,"100",1,"D~1.0"
"4",47.62,30814.200000003,"appealing","0.5",238,"100",1.4,"D~1.4"
"3.5",17.99,5374.79999999702,"appealing","0.5",117,"100",1.6,"D~1.6"
"5.5",100,5239.29999999702,"appealing","2",314,"100",1,"D~1.0"
"5.5",100,4775.79999999702,"appealing","0.66667",238,"100",1,"D~1.0"
"4",26.72,9885.5,"appealing","0.5",314,"100",1.4,"D~1.4"
"5.5",100,4102.79999999702,"appealing","1",314,"100",1,"D~1.0"
"4.5",66.8,18790.5,"appealing","1",314,"100",1.2,"D~1.2"
"2.5",0.13,3731.09999999404,"appealing","1",117,"100",1.8,"D~1.8"
"4.5",63.36,4349.39999999106,"appealing","1.5",314,"100",1.2,"D~1.2"
"5.5",91.4,3765.09999999404,"appealing","0.5",117,"100",1,"D~1.0"
"2.5",1.98,6782.29999999702,"appealing","2",314,"100",1.8,"D~1.8"
"2.5",0,13998.799999997,"appealing","0.66667",314,"100",1.8,"D~1.8"
"5.5",97,5739.60000000894,"natural","0.66667",314,"100",1,"D~1.0"
"2.5",91.8,6754.79999999702,"natural","2",238,"100",1.8,"D~1.8"
"2.5",30,6283.39999999106,"natural","1",314,"100",1.8,"D~1.8"
"2.5",4.37,2530.59999999404,"natural","0.66667",314,"100",1.8,"D~1.8"
"4",29.37,6850.39999999106,"natural","0.66667",314,"100",1.4,"D~1.4"
"4.5",92.59,3665.40000000596,"natural","2",314,"100",1.2,"D~1.2"
"4",6.22,4516.29999999702,"natural","0.5",117,"100",1.4,"D~1.4"
"2.5",1.98,2423.10000000894,"natural","0.5",238,"100",1.8,"D~1.8"
"4",55.29,5056.90000000596,"natural","2",238,"100",1.4,"D~1.4"
"2.5",3.84,2830.90000000596,"natural","1.5",238,"100",1.8,"D~1.8"
"5.5",20.24,5500.39999999106,"natural","0.5",314,"100",1,"D~1.0"
"2.5",30,8991.40000000596,"natural","2",314,"100",1.8,"D~1.8"
"4.5",45,7942.5,"natural","0.66667",238,"100",1.2,"D~1.2"
"2.5",5.56,7919.10000000894,"natural","0.66667",117,"100",1.8,"D~1.8"
"5.5",96,9091.40000000596,"natural","1",314,"100",1,"D~1.0"
"4",44.05,80365.799999997,"natural","1",314,"100",1.4,"D~1.4"
"4.5",19.71,2691.60000000894,"natural","0.5",117,"100",1.2,"D~1.2"
"5.5",96,3174.20000000298,"natural","1",238,"100",1,"D~1.0"
"5.5",55,4271.29999999702,"natural","0.5",117,"100",1,"D~1.0"
"5.5",77.51,3367,"natural","0.66667",238,"100",1,"D~1.0"
"4.5",100,5156.59999999404,"natural","1.5",117,"100",1.2,"D~1.2"
"4.5",79.23,6473.20000000298,"natural","1",238,"100",1.2,"D~1.2"
"3.5",30.29,47278.799999997,"natural","0.5",117,"100",1.6,"D~1.6"
"4",68.78,4918.79999999702,"natural","1",238,"100",1.4,"D~1.4"
"4",25.66,14390.700000003,"natural","0.66667",238,"100",1.4,"D~1.4"
"3.5",89.42,4302.09999999404,"natural","2",314,"100",1.6,"D~1.6"
"3.5",6,4678.39999999106,"natural","0.5",238,"100",1.6,"D~1.6"
"5.5",100,3748.89999999106,"natural","1.5",117,"100",1,"D~1.0"
"3.5",46.16,58600.200000003,"natural","0.66667",314,"100",1.6,"D~1.6"
"2.5",58.2,5313.90000000596,"natural","1",238,"100",1.8,"D~1.8"
"3.5",100,3947.79999999702,"natural","2",238,"100",1.6,"D~1.6"
"3.5",37.04,4886.60000000894,"natural","1",117,"100",1.6,"D~1.6"
"4.5",34.92,3228.09999999404,"natural","0.5",238,"100",1.2,"D~1.2"
"4",18.65,5449.09999999404,"natural","0.5",238,"100",1.4,"D~1.4"
"3.5",23.02,3422.39999999106,"natural","0.5",314,"100",1.6,"D~1.6"
"4",89.02,5166.79999999702,"natural","2",314,"100",1.4,"D~1.4"
"4",82.94,9494.40000000596,"natural","1",117,"100",1.4,"D~1.4"
"5.5",92.46,5076.79999999702,"natural","0.5",238,"100",1,"D~1.0"
"4",46.03,10899.099999994,"natural","0.66667",117,"100",1.4,"D~1.4"
"4.5",91.14,4232,"natural","2",238,"100",1.2,"D~1.2"
"5.5",99,3756,"natural","2",314,"100",1,"D~1.0"
"2.5",12,5190.70000000298,"natural","0.66667",238,"100",1.8,"D~1.8"
"4.5",97,7732.20000000298,"natural","1.5",238,"100",1.2,"D~1.2"
"4.5",57.41,19465.6000000089,"natural","1",117,"100",1.2,"D~1.2"
"4.5",41.53,4133.5,"natural","0.66667",314,"100",1.2,"D~1.2"
"4.5",78.57,68913.8999999911,"natural","2",117,"100",1.2,"D~1.2"
"4",51.85,7435.79999999702,"natural","2",117,"100",1.4,"D~1.4"
"2.5",23.94,3095.09999999404,"natural","1.5",314,"100",1.8,"D~1.8"
"2.5",0,3912.79999999702,"natural","0.5",117,"100",1.8,"D~1.8"
"4.5",22.62,3618.29999999702,"natural","0.66667",117,"100",1.2,"D~1.2"
"5.5",94.97,3147.40000000596,"natural","1.5",238,"100",1,"D~1.0"
"2.5",3.7,2306.79999999702,"natural","1",117,"100",1.8,"D~1.8"
"4",42.33,4158.09999999404,"natural","1.5",117,"100",1.4,"D~1.4"
"3.5",66.53,8347.20000000298,"natural","1.5",238,"100",1.6,"D~1.6"
"3.5",45.77,16526.400000006,"natural","1",238,"100",1.6,"D~1.6"
"3.5",70.24,3962.5,"natural","2",117,"100",1.6,"D~1.6"
"4",62.04,2706.40000000596,"natural","1.5",238,"100",1.4,"D~1.4"
"5.5",98,3018.60000000894,"natural","2",238,"100",1,"D~1.0"
"4",94,6296.30000001192,"natural","1.5",314,"100",1.4,"D~1.4"
"5.5",89.42,5389.70000000298,"natural","1",117,"100",1,"D~1.0"
"3.5",49.07,8457.60000000894,"natural","1",314,"100",1.6,"D~1.6"
"2.5",54.5,13348.5,"natural","1.5",117,"100",1.8,"D~1.8"
"3.5",67,8450.09999999404,"natural","1.5",314,"100",1.6,"D~1.6"
"2.5",40,6864.29999999702,"natural","2",117,"100",1.8,"D~1.8"
"3.5",0.79,4785.10000000894,"natural","0.66667",238,"100",1.6,"D~1.6"
"5.5",100,4614.70000000298,"natural","2",117,"100",1,"D~1.0"
"5.5",97,4547.40000000596,"natural","1.5",314,"100",1,"D~1.0"
"4.5",49.21,14980.599999994,"natural","1",314,"100",1.2,"D~1.2"
"4",24.47,14540.3000000119,"natural","0.5",314,"100",1.4,"D~1.4"
"2.5",0,2942.30000001192,"natural","0.5",314,"100",1.8,"D~1.8"
"4.5",0,4255.09999999404,"natural","0.5",314,"100",1.2,"D~1.2"
"3.5",2.51,2307.09999999404,"natural","0.66667",117,"100",1.6,"D~1.6"
"4.5",98,3986.39999999106,"natural","1.5",314,"100",1.2,"D~1.2"
"5.5",96,3836.59999999404,"natural","0.66667",117,"100",1,"D~1.0"
"3.5",67.33,21096.5,"natural","1.5",117,"100",1.6,"D~1.6"
"3.5",27.12,12461.900000006,"interesting","1",117,"100",1.6,"D~1.6"
"4",53.17,4030.5,"interesting","2",238,"100",1.4,"D~1.4"
"4",52.12,5971.09999999404,"interesting","1",117,"100",1.4,"D~1.4"
"3.5",33.86,13021.799999997,"interesting","0.66667",238,"100",1.6,"D~1.6"
"3.5",41.67,7234.20000000298,"interesting","2",117,"100",1.6,"D~1.6"
"4",64.02,26230.5,"interesting","0.66667",238,"100",1.4,"D~1.4"
"4",77.38,10864.299999997,"interesting","1.5",117,"100",1.4,"D~1.4"
"4.5",82.54,3869.59999999404,"interesting","0.66667",117,"100",1.2,"D~1.2"
"4.5",65,5502.5,"interesting","2",238,"100",1.2,"D~1.2"
"4",31,2740.60000000894,"interesting","0.5",117,"100",1.4,"D~1.4"
"4",52,4873.10000000894,"interesting","2",117,"100",1.4,"D~1.4"
"2.5",0,4357.5,"interesting","1.5",117,"100",1.8,"D~1.8"
"4",33.07,5871.79999999702,"interesting","1.5",314,"100",1.4,"D~1.4"
"5.5",100,4659.09999999404,"interesting","0.5",238,"100",1,"D~1.0"
"4",31.48,13932.599999994,"interesting","0.66667",314,"100",1.4,"D~1.4"
"5.5",100,3852.59999999404,"interesting","2",314,"100",1,"D~1.0"
"2.5",0,3261.20000000298,"interesting","1",238,"100",1.8,"D~1.8"
"5.5",100,20031.5,"interesting","0.5",117,"100",1,"D~1.0"
"2.5",0,2997.79999999702,"interesting","0.66667",117,"100",1.8,"D~1.8"
"5.5",100,4149.40000000596,"interesting","1.5",117,"100",1,"D~1.0"
"4.5",55.16,5015.59999999404,"interesting","2",117,"100",1.2,"D~1.2"
"4.5",73.68,5472.10000000894,"interesting","2",314,"100",1.2,"D~1.2"
"4",17.86,7108.60000000894,"interesting","2",314,"100",1.4,"D~1.4"
"2.5",0.4,4073.29999999702,"interesting","1.5",314,"100",1.8,"D~1.8"
"4.5",91.8,28077.799999997,"interesting","0.66667",238,"100",1.2,"D~1.2"
"3.5",30.95,6862.20000000298,"interesting","1",314,"100",1.6,"D~1.6"
"4.5",55.56,6903.30000001192,"interesting","1",238,"100",1.2,"D~1.2"
"2.5",0,8062.40000000596,"interesting","0.5",238,"100",1.8,"D~1.8"
"4",67.46,4583.09999999404,"interesting","1",238,"100",1.4,"D~1.4"
"4.5",76.85,7630.40000000596,"interesting","1.5",117,"100",1.2,"D~1.2"
"3.5",5.42,3834,"interesting","1.5",314,"100",1.6,"D~1.6"
"3.5",2,8931.29999999702,"interesting","1.5",117,"100",1.6,"D~1.6"
"4",4.89,3978.59999999404,"interesting","1.5",238,"100",1.4,"D~1.4"
"3.5",0,5386.5,"interesting","0.5",238,"100",1.6,"D~1.6"
"5.5",100,3510.79999999702,"interesting","2",238,"100",1,"D~1.0"
"5.5",100,15086.700000003,"interesting","0.66667",314,"100",1,"D~1.0"
"2.5",0,21782.200000003,"interesting","0.5",314,"100",1.8,"D~1.8"
"2.5",14,5725.29999999702,"interesting","2",314,"100",1.8,"D~1.8"
"2.5",3.17,6365.5,"interesting","2",117,"100",1.8,"D~1.8"
"2.5",0,3598.79999999702,"interesting","1",314,"100",1.8,"D~1.8"
"3.5",56,29365.3000000119,"interesting","2",314,"100",1.6,"D~1.6"
"2.5",0.13,3401.59999999404,"interesting","0.66667",314,"100",1.8,"D~1.8"
"4.5",100,3195.90000000596,"interesting","1.5",314,"100",1.2,"D~1.2"
"4.5",75,4904,"interesting","0.5",117,"100",1.2,"D~1.2"
"4.5",86.38,4294.20000000298,"interesting","0.66667",314,"100",1.2,"D~1.2"
"3.5",20,6151.20000000298,"interesting","0.66667",117,"100",1.6,"D~1.6"
"5.5",100,3782.70000000298,"interesting","2",117,"100",1,"D~1.0"
"2.5",0,5446.20000000298,"interesting","0.66667",238,"100",1.8,"D~1.8"
"4",73,6179,"interesting","0.5",238,"100",1.4,"D~1.4"
"5.5",100,3332.29999999702,"interesting","1",117,"100",1,"D~1.0"
"3.5",29,4698.79999999702,"interesting","0.66667",314,"100",1.6,"D~1.6"
"4",50.13,6617.09999999404,"interesting","0.5",314,"100",1.4,"D~1.4"
"4",63.1,5871.29999999702,"interesting","0.66667",117,"100",1.4,"D~1.4"
"2.5",0.93,3758.09999999404,"interesting","1",117,"100",1.8,"D~1.8"
"3.5",21,15239.1000000089,"interesting","0.5",117,"100",1.6,"D~1.6"
"3.5",98,5190.5,"interesting","1.5",238,"100",1.6,"D~1.6"
"4.5",100,3049.20000000298,"interesting","1",314,"100",1.2,"D~1.2"
"5.5",100,2667.79999999702,"interesting","1",314,"100",1,"D~1.0"
"2.5",10.85,2886.90000000596,"interesting","2",238,"100",1.8,"D~1.8"
"5.5",100,3857,"interesting","0.66667",117,"100",1,"D~1.0"
"3.5",22.62,21698.900000006,"interesting","1",238,"100",1.6,"D~1.6"
"5.5",100,7714.79999999702,"interesting","0.5",314,"100",1,"D~1.0"
"5.5",100,5715.20000000298,"interesting","1.5",238,"100",1,"D~1.0"
"4.5",88.89,8301.5,"interesting","1",117,"100",1.2,"D~1.2"
"5.5",100,8112.09999999404,"interesting","0.66667",238,"100",1,"D~1.0"
"5.5",100,5081.89999999106,"interesting","1.5",314,"100",1,"D~1.0"
"2.5",0,5537.69999998808,"interesting","1.5",238,"100",1.8,"D~1.8"
"3.5",45.9,4060.20000000298,"interesting","0.5",314,"100",1.6,"D~1.6"
"3.5",40.61,4312.80000001192,"interesting","2",238,"100",1.6,"D~1.6"
"5.5",100,3149.29999999702,"interesting","1",238,"100",1,"D~1.0"
"4",66.67,4114.10000000894,"interesting","1",314,"100",1.4,"D~1.4"
"2.5",0,6187.70000000298,"interesting","0.5",117,"100",1.8,"D~1.8"
"4.5",86.64,13566.1000000089,"interesting","1.5",238,"100",1.2,"D~1.2"
"4.5",100,8265.5,"interesting","0.5",238,"100",1.2,"D~1.2"
"4.5",79.1,4560.20000000298,"interesting","0.5",314,"100",1.2,"D~1.2"
"5.5",98,5467.30000001192,"relaxing","0.66667",238,"100",1,"D~1.0"
"5.5",100,3240,"relaxing","1.5",238,"100",1,"D~1.0"
"4",35,9097.60000000894,"relaxing","1",314,"100",1.4,"D~1.4"
"4.5",1.98,3133.5,"relaxing","0.5",238,"100",1.2,"D~1.2"
"4",9.52,3852.29999999702,"relaxing","0.66667",314,"100",1.4,"D~1.4"
"2.5",5.03,5896.20000000298,"relaxing","2",117,"100",1.8,"D~1.8"
"4.5",21.43,7081.89999999106,"relaxing","0.66667",314,"100",1.2,"D~1.2"
"5.5",84.92,4694.59999999404,"relaxing","0.66667",117,"100",1,"D~1.0"
"2.5",11.24,5798.5,"relaxing","2",238,"100",1.8,"D~1.8"
"2.5",0,4497.5,"relaxing","1",117,"100",1.8,"D~1.8"
"3.5",78.31,11882.1000000089,"relaxing","1.5",238,"100",1.6,"D~1.6"
"3.5",77.25,5472.5,"relaxing","2",238,"100",1.6,"D~1.6"
"3.5",38.76,4067,"relaxing","1",238,"100",1.6,"D~1.6"
"2.5",0,3406.09999999404,"relaxing","0.5",238,"100",1.8,"D~1.8"
"2.5",0,5138.5,"relaxing","0.66667",117,"100",1.8,"D~1.8"
"4.5",98,9699,"relaxing","2",117,"100",1.2,"D~1.2"
"3.5",81,14401.6999999881,"relaxing","2",314,"100",1.6,"D~1.6"
"4",32,35092.799999997,"relaxing","0.5",238,"100",1.4,"D~1.4"
"3.5",1.72,3319.90000000596,"relaxing","0.5",238,"100",1.6,"D~1.6"
"5.5",100,4641.39999999106,"relaxing","0.66667",314,"100",1,"D~1.0"
"2.5",0,5104.79999999702,"relaxing","1",238,"100",1.8,"D~1.8"
"2.5",0,3562.79999999702,"relaxing","0.5",117,"100",1.8,"D~1.8"
"4.5",48.28,3240.59999999404,"relaxing","1",117,"100",1.2,"D~1.2"
"4.5",73,5351.20000000298,"relaxing","1.5",238,"100",1.2,"D~1.2"
"2.5",0,3888.29999999702,"relaxing","1",314,"100",1.8,"D~1.8"
"2.5",0,3844.89999999106,"relaxing","1.5",238,"100",1.8,"D~1.8"
"3.5",15.48,3768.70000000298,"relaxing","1",117,"100",1.6,"D~1.6"
"5.5",88,4010.59999999404,"relaxing","0.5",314,"100",1,"D~1.0"
"4",22.62,3472.09999999404,"relaxing","0.5",117,"100",1.4,"D~1.4"
"3.5",27.25,2934.70000000298,"relaxing","0.66667",314,"100",1.6,"D~1.6"
"4",39.29,5589.79999999702,"relaxing","1",238,"100",1.4,"D~1.4"
"2.5",0.4,3357.70000000298,"relaxing","0.66667",314,"100",1.8,"D~1.8"
"3.5",3,4836.40000000596,"relaxing","0.5",117,"100",1.6,"D~1.6"
"3.5",59.52,6276.39999999106,"relaxing","2",117,"100",1.6,"D~1.6"
"4.5",98,5555.5,"relaxing","1.5",117,"100",1.2,"D~1.2"
"5.5",100,3040,"relaxing","2",238,"100",1,"D~1.0"
"3.5",4,5349.70000000298,"relaxing","0.66667",238,"100",1.6,"D~1.6"
"5.5",100,5237.09999999404,"relaxing","1.5",314,"100",1,"D~1.0"
"5.5",100,4844.89999999106,"relaxing","1",238,"100",1,"D~1.0"
"4.5",35.58,3013.29999999702,"relaxing","0.5",314,"100",1.2,"D~1.2"
"4.5",23.94,2533.40000000596,"relaxing","0.66667",238,"100",1.2,"D~1.2"
"5.5",100,3423.70000000298,"relaxing","2",117,"100",1,"D~1.0"
"4",80.03,4375.09999999404,"relaxing","2",314,"100",1.4,"D~1.4"
"2.5",0,3178,"relaxing","0.5",314,"100",1.8,"D~1.8"
"4",55.16,3803.20000000298,"relaxing","1.5",117,"100",1.4,"D~1.4"
"4",81.08,12119.8000000119,"relaxing","2",238,"100",1.4,"D~1.4"
